version,1.7.0
info,balls_per_over,6
info,team,Sri Lanka
info,team,Afghanistan
info,gender,male
info,season,2023
info,date,2023/06/04
info,event,Afghanistan tour of Sri Lanka
info,match_number,2
info,venue,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota"
info,city,Hambantota
info,toss_winner,Sri Lanka
info,toss_decision,bat
info,player_of_match,DM de Silva
info,umpire,LE Hannibal
info,umpire,MA Gough
info,reserve_umpire,RSA Palliyaguruge
info,tv_umpire,Nitin Menon
info,match_referee,RS Madugalle
info,winner,Sri Lanka
info,winner_runs,132
info,player,Sri Lanka,P Nissanka
info,player,Sri Lanka,FDM Karunaratne
info,player,Sri Lanka,BKG Mendis
info,player,Sri Lanka,S Samarawickrama
info,player,Sri Lanka,KIC Asalanka
info,player,Sri Lanka,DM de Silva
info,player,Sri Lanka,MD Shanaka
info,player,Sri Lanka,PWH de Silva
info,player,Sri Lanka,M Theekshana
info,player,Sri Lanka,PVD Chameera
info,player,Sri Lanka,CAK Rajitha
info,player,Afghanistan,Rahmanullah Gurbaz
info,player,Afghanistan,Ibrahim Zadran
info,player,Afghanistan,Rahmat Shah
info,player,Afghanistan,Hashmatullah Shahidi
info,player,Afghanistan,Najibullah Zadran
info,player,Afghanistan,Mohammad Nabi
info,player,Afghanistan,Azmatullah Omarzai
info,player,Afghanistan,Noor Ahmad
info,player,Afghanistan,Mujeeb Ur Rahman
info,player,Afghanistan,Fareed Ahmad
info,player,Afghanistan,Fazalhaq Farooqi
info,registry,people,Azmatullah Omarzai,8f6dd463
info,registry,people,BKG Mendis,5d1e7582
info,registry,people,CAK Rajitha,8012d0b8
info,registry,people,DM de Silva,7d608e12
info,registry,people,FDM Karunaratne,400e2d4d
info,registry,people,Fareed Ahmad,67b7bad4
info,registry,people,Fazalhaq Farooqi,e9c7f0d0
info,registry,people,Hashmatullah Shahidi,c2a46cb4
info,registry,people,Ibrahim Zadran,d4550956
info,registry,people,KIC Asalanka,732c038e
info,registry,people,LE Hannibal,3c04e91a
info,registry,people,M Theekshana,f24c6701
info,registry,people,MA Gough,76752ac8
info,registry,people,MD Shanaka,3ff033bb
info,registry,people,Mohammad Nabi,62af8546
info,registry,people,Mujeeb Ur Rahman,7d92277a
info,registry,people,Najibullah Zadran,1212cbec
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,Noor Ahmad,efc04be7
info,registry,people,P Nissanka,8ee36b18
info,registry,people,PVD Chameera,327b58d3
info,registry,people,PWH de Silva,a97c8ec2
info,registry,people,RS Madugalle,766b5798
info,registry,people,RSA Palliyaguruge,4339c19d
info,registry,people,Rahmanullah Gurbaz,0bacade8
info,registry,people,Rahmat Shah,f9c29fcd
info,registry,people,S Samarawickrama,9ab2914d
ball,1,0.1,Sri Lanka,P Nissanka,FDM Karunaratne,Fazalhaq Farooqi,0,0,,,,,,"",""
ball,1,0.2,Sri Lanka,P Nissanka,FDM Karunaratne,Fazalhaq Farooqi,0,0,,,,,,"",""
ball,1,0.3,Sri Lanka,P Nissanka,FDM Karunaratne,Fazalhaq Farooqi,0,0,,,,,,"",""
ball,1,0.4,Sri Lanka,P Nissanka,FDM Karunaratne,Fazalhaq Farooqi,0,0,,,,,,"",""
ball,1,0.5,Sri Lanka,P Nissanka,FDM Karunaratne,Fazalhaq Farooqi,0,0,,,,,,"",""
ball,1,0.6,Sri Lanka,P Nissanka,FDM Karunaratne,Fazalhaq Farooqi,1,0,,,,,,"",""
ball,1,1.1,Sri Lanka,P Nissanka,FDM Karunaratne,Azmatullah Omarzai,0,0,,,,,,"",""
ball,1,1.2,Sri Lanka,P Nissanka,FDM Karunaratne,Azmatullah Omarzai,4,0,,,,,,"",""
ball,1,1.3,Sri Lanka,P Nissanka,FDM Karunaratne,Azmatullah Omarzai,1,0,,,,,,"",""
ball,1,1.4,Sri Lanka,FDM Karunaratne,P Nissanka,Azmatullah Omarzai,0,0,,,,,,"",""
ball,1,1.5,Sri Lanka,FDM Karunaratne,P Nissanka,Azmatullah Omarzai,0,0,,,,,,"",""
ball,1,1.6,Sri Lanka,FDM Karunaratne,P Nissanka,Azmatullah Omarzai,0,0,,,,,,"",""
ball,1,2.1,Sri Lanka,P Nissanka,FDM Karunaratne,Fazalhaq Farooqi,0,0,,,,,,"",""
ball,1,2.2,Sri Lanka,P Nissanka,FDM Karunaratne,Fazalhaq Farooqi,0,0,,,,,,"",""
ball,1,2.3,Sri Lanka,P Nissanka,FDM Karunaratne,Fazalhaq Farooqi,3,0,,,,,,"",""
ball,1,2.4,Sri Lanka,FDM Karunaratne,P Nissanka,Fazalhaq Farooqi,4,0,,,,,,"",""
ball,1,2.5,Sri Lanka,FDM Karunaratne,P Nissanka,Fazalhaq Farooqi,0,0,,,,,,"",""
ball,1,2.6,Sri Lanka,FDM Karunaratne,P Nissanka,Fazalhaq Farooqi,4,0,,,,,,"",""
ball,1,3.1,Sri Lanka,P Nissanka,FDM Karunaratne,Azmatullah Omarzai,0,0,,,,,,"",""
ball,1,3.2,Sri Lanka,P Nissanka,FDM Karunaratne,Azmatullah Omarzai,4,0,,,,,,"",""
ball,1,3.3,Sri Lanka,P Nissanka,FDM Karunaratne,Azmatullah Omarzai,0,0,,,,,,"",""
ball,1,3.4,Sri Lanka,P Nissanka,FDM Karunaratne,Azmatullah Omarzai,0,0,,,,,,"",""
ball,1,3.5,Sri Lanka,P Nissanka,FDM Karunaratne,Azmatullah Omarzai,0,0,,,,,,"",""
ball,1,3.6,Sri Lanka,P Nissanka,FDM Karunaratne,Azmatullah Omarzai,0,1,1,,,,,"",""
ball,1,3.7,Sri Lanka,P Nissanka,FDM Karunaratne,Azmatullah Omarzai,4,0,,,,,,"",""
ball,1,4.1,Sri Lanka,FDM Karunaratne,P Nissanka,Fazalhaq Farooqi,0,0,,,,,,"",""
ball,1,4.2,Sri Lanka,FDM Karunaratne,P Nissanka,Fazalhaq Farooqi,0,0,,,,,,"",""
ball,1,4.3,Sri Lanka,FDM Karunaratne,P Nissanka,Fazalhaq Farooqi,0,0,,,,,,"",""
ball,1,4.4,Sri Lanka,FDM Karunaratne,P Nissanka,Fazalhaq Farooqi,1,0,,,,,,"",""
ball,1,4.5,Sri Lanka,P Nissanka,FDM Karunaratne,Fazalhaq Farooqi,0,0,,,,,,"",""
ball,1,4.6,Sri Lanka,P Nissanka,FDM Karunaratne,Fazalhaq Farooqi,0,0,,,,,,"",""
ball,1,5.1,Sri Lanka,FDM Karunaratne,P Nissanka,Mujeeb Ur Rahman,0,0,,,,,,"",""
ball,1,5.2,Sri Lanka,FDM Karunaratne,P Nissanka,Mujeeb Ur Rahman,1,0,,,,,,"",""
ball,1,5.3,Sri Lanka,P Nissanka,FDM Karunaratne,Mujeeb Ur Rahman,0,0,,,,,,"",""
ball,1,5.4,Sri Lanka,P Nissanka,FDM Karunaratne,Mujeeb Ur Rahman,0,0,,,,,,"",""
ball,1,5.5,Sri Lanka,P Nissanka,FDM Karunaratne,Mujeeb Ur Rahman,0,0,,,,,,"",""
ball,1,5.6,Sri Lanka,P Nissanka,FDM Karunaratne,Mujeeb Ur Rahman,1,0,,,,,,"",""
ball,1,6.1,Sri Lanka,P Nissanka,FDM Karunaratne,Fazalhaq Farooqi,4,0,,,,,,"",""
ball,1,6.2,Sri Lanka,P Nissanka,FDM Karunaratne,Fazalhaq Farooqi,0,0,,,,,,"",""
