version,1.7.0
info,balls_per_over,6
info,team,Afghanistan
info,team,Bangladesh
info,gender,male
info,season,2023
info,date,2023/07/16
info,event,Afghanistan tour of Bangladesh
info,match_number,2
info,venue,Sylhet International Cricket Stadium
info,city,Sylhet
info,toss_winner,Bangladesh
info,toss_decision,field
info,player_of_match,Shakib Al Hasan
info,umpire,Sharfuddoula
info,umpire,Tanvir Ahmed
info,reserve_umpire,Gazi Sohel
info,tv_umpire,Masudur Rahman
info,match_referee,Neeyamur Rashid
info,winner,Bangladesh
info,winner_wickets,6
info,method,D/L
info,player,Afghanistan,Rahmanullah Gurbaz
info,player,Afghanistan,Hazratullah
info,player,Afghanistan,Ibrahim Zadran
info,player,Afghanistan,Mohammad Nabi
info,player,Afghanistan,Najibullah Zadran
info,player,Afghanistan,Azmatullah Omarzai
info,player,Afghanistan,Karim Janat
info,player,Afghanistan,Rashid Khan
info,player,Afghanistan,Mujeeb Ur Rahman
info,player,Afghanistan,Fazalhaq Farooqi
info,player,Afghanistan,Wafadar Momand
info,player,Bangladesh,Liton Das
info,player,Bangladesh,Afif Hossain
info,player,Bangladesh,Nazmul Hossain Shanto
info,player,Bangladesh,Towhid Hridoy
info,player,Bangladesh,Shakib Al Hasan
info,player,Bangladesh,Shamim Hossain
info,player,Bangladesh,Mehedi Hasan Miraz
info,player,Bangladesh,Hasan Mahmud
info,player,Bangladesh,Mustafizur Rahman
info,player,Bangladesh,Nasum Ahmed
info,player,Bangladesh,Taskin Ahmed
info,registry,people,Afif Hossain,37138918
info,registry,people,Azmatullah Omarzai,8f6dd463
info,registry,people,Fazalhaq Farooqi,e9c7f0d0
info,registry,people,Gazi Sohel,f0df3ed7
info,registry,people,Hasan Mahmud,80ad39ac
info,registry,people,Hazratullah,5ea51c25
info,registry,people,Ibrahim Zadran,d4550956
info,registry,people,Karim Janat,62175638
info,registry,people,Liton Das,0404d43c
info,registry,people,Masudur Rahman,9581ac6b
info,registry,people,Mehedi Hasan Miraz,c58b0108
info,registry,people,Mohammad Nabi,62af8546
info,registry,people,Mujeeb Ur Rahman,7d92277a
info,registry,people,Mustafizur Rahman,0a8fce53
info,registry,people,Najibullah Zadran,1212cbec
info,registry,people,Nasum Ahmed,37654b75
info,registry,people,Nazmul Hossain Shanto,1274d7ab
info,registry,people,Neeyamur Rashid,bd81a027
info,registry,people,Rahmanullah Gurbaz,0bacade8
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,Shakib Al Hasan,7dc35884
info,registry,people,Shamim Hossain,711249d1
info,registry,people,Sharfuddoula,63896abb
info,registry,people,Tanvir Ahmed,ea2df1f1
info,registry,people,Taskin Ahmed,ef18b66e
info,registry,people,Towhid Hridoy,9e52a414
info,registry,people,Wafadar Momand,6b68d7b3
ball,1,0.1,Afghanistan,Rahmanullah Gurbaz,Hazratullah,Taskin Ahmed,2,0,,,,,,"",""
ball,1,0.2,Afghanistan,Rahmanullah Gurbaz,Hazratullah,Taskin Ahmed,0,0,,,,,,"",""
ball,1,0.3,Afghanistan,Rahmanullah Gurbaz,Hazratullah,Taskin Ahmed,0,1,1,,,,,"",""
ball,1,0.4,Afghanistan,Rahmanullah Gurbaz,Hazratullah,Taskin Ahmed,0,0,,,,,,"",""
ball,1,0.5,Afghanistan,Rahmanullah Gurbaz,Hazratullah,Taskin Ahmed,6,0,,,,,,"",""
ball,1,0.6,Afghanistan,Rahmanullah Gurbaz,Hazratullah,Taskin Ahmed,0,0,,,,,,caught and bowled,Rahmanullah Gurbaz
ball,1,0.7,Afghanistan,Ibrahim Zadran,Hazratullah,Taskin Ahmed,0,0,,,,,,"",""
ball,1,1.1,Afghanistan,Hazratullah,Ibrahim Zadran,Hasan Mahmud,0,1,,,,1,,"",""
ball,1,1.2,Afghanistan,Ibrahim Zadran,Hazratullah,Hasan Mahmud,0,0,,,,,,"",""
ball,1,1.3,Afghanistan,Ibrahim Zadran,Hazratullah,Hasan Mahmud,0,0,,,,,,"",""
ball,1,1.4,Afghanistan,Ibrahim Zadran,Hazratullah,Hasan Mahmud,0,0,,,,,,"",""
ball,1,1.5,Afghanistan,Ibrahim Zadran,Hazratullah,Hasan Mahmud,0,1,1,,,,,"",""
ball,1,1.6,Afghanistan,Ibrahim Zadran,Hazratullah,Hasan Mahmud,0,0,,,,,,"",""
ball,1,1.7,Afghanistan,Ibrahim Zadran,Hazratullah,Hasan Mahmud,0,0,,,,,,"",""
ball,1,2.1,Afghanistan,Hazratullah,Ibrahim Zadran,Taskin Ahmed,4,0,,,,,,"",""
ball,1,2.2,Afghanistan,Hazratullah,Ibrahim Zadran,Taskin Ahmed,0,0,,,,,,"",""
ball,1,2.3,Afghanistan,Hazratullah,Ibrahim Zadran,Taskin Ahmed,0,0,,,,,,"",""
ball,1,2.4,Afghanistan,Hazratullah,Ibrahim Zadran,Taskin Ahmed,0,1,1,,,,,"",""
ball,1,2.5,Afghanistan,Hazratullah,Ibrahim Zadran,Taskin Ahmed,0,0,,,,,,caught,Hazratullah
ball,1,2.6,Afghanistan,Mohammad Nabi,Ibrahim Zadran,Taskin Ahmed,0,0,,,,,,"",""
ball,1,2.7,Afghanistan,Mohammad Nabi,Ibrahim Zadran,Taskin Ahmed,0,0,,,,,,"",""
ball,1,3.1,Afghanistan,Ibrahim Zadran,Mohammad Nabi,Hasan Mahmud,0,0,,,,,,"",""
ball,1,3.2,Afghanistan,Ibrahim Zadran,Mohammad Nabi,Hasan Mahmud,1,0,,,,,,"",""
ball,1,3.3,Afghanistan,Mohammad Nabi,Ibrahim Zadran,Hasan Mahmud,0,0,,,,,,"",""
ball,1,3.4,Afghanistan,Mohammad Nabi,Ibrahim Zadran,Hasan Mahmud,1,0,,,,,,"",""
