version,1.7.0
info,balls_per_over,6
info,team,Bangladesh
info,team,Afghanistan
info,gender,male
info,season,2023
info,date,2023/09/03
info,event,Asia Cup
info,match_number,4
info,venue,"Gaddafi Stadium, Lahore"
info,city,Lahore
info,toss_winner,Bangladesh
info,toss_decision,bat
info,player_of_match,Mehedi Hasan Miraz
info,umpire,Asif Yaqoob
info,umpire,L Rusere
info,reserve_umpire,Masudur Rahman
info,tv_umpire,CB Gaffaney
info,match_referee,DC Boon
info,winner,Bangladesh
info,winner_runs,89
info,player,Bangladesh,Mohammad Naim
info,player,Bangladesh,Mehedi Hasan Miraz
info,player,Bangladesh,Towhid Hridoy
info,player,Bangladesh,Nazmul Hossain Shanto
info,player,Bangladesh,Mushfiqur Rahim
info,player,Bangladesh,Shakib Al Hasan
info,player,Bangladesh,Shamim Hossain
info,player,Bangladesh,Afif Hossain
info,player,Bangladesh,Taskin Ahmed
info,player,Bangladesh,Shoriful Islam
info,player,Bangladesh,Hasan Mahmud
info,player,Afghanistan,Rahmanullah Gurbaz
info,player,Afghanistan,Ibrahim Zadran
info,player,Afghanistan,Rahmat Shah
info,player,Afghanistan,Hashmatullah Shahidi
info,player,Afghanistan,Najibullah Zadran
info,player,Afghanistan,Mohammad Nabi
info,player,Afghanistan,Gulbadin Naib
info,player,Afghanistan,Karim Janat
info,player,Afghanistan,Rashid Khan
info,player,Afghanistan,Mujeeb Ur Rahman
info,player,Afghanistan,Fazalhaq Farooqi
info,registry,people,Afif Hossain,37138918
info,registry,people,Anamul Haque,72b245dd
info,registry,people,Asif Yaqoob,6b35790c
info,registry,people,CB Gaffaney,d5ac41d8
info,registry,people,DC Boon,e79a1fe3
info,registry,people,Fazalhaq Farooqi,e9c7f0d0
info,registry,people,Gulbadin Naib,9f77963a
info,registry,people,Hasan Mahmud,80ad39ac
info,registry,people,Hashmatullah Shahidi,c2a46cb4
info,registry,people,Ibrahim Zadran,d4550956
info,registry,people,Karim Janat,62175638
info,registry,people,L Rusere,6a4734ae
info,registry,people,Masudur Rahman,9581ac6b
info,registry,people,Mehedi Hasan Miraz,c58b0108
info,registry,people,Mohammad Nabi,62af8546
info,registry,people,Mohammad Naim,7923a51d
info,registry,people,Mujeeb Ur Rahman,7d92277a
info,registry,people,Mushfiqur Rahim,a94e08ea
info,registry,people,Najibullah Zadran,1212cbec
info,registry,people,Nazmul Hossain Shanto,1274d7ab
info,registry,people,Rahmanullah Gurbaz,0bacade8
info,registry,people,Rahmat Shah,f9c29fcd
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,Shakib Al Hasan,7dc35884
info,registry,people,Shamim Hossain,711249d1
info,registry,people,Shoriful Islam,bb34fd31
info,registry,people,Taskin Ahmed,ef18b66e
info,registry,people,Towhid Hridoy,9e52a414
ball,1,0.1,Bangladesh,Mohammad Naim,Mehedi Hasan Miraz,Fazalhaq Farooqi,0,0,,,,,,"",""
ball,1,0.2,Bangladesh,Mohammad Naim,Mehedi Hasan Miraz,Fazalhaq Farooqi,4,0,,,,,,"",""
ball,1,0.3,Bangladesh,Mohammad Naim,Mehedi Hasan Miraz,Fazalhaq Farooqi,0,5,5,,,,,"",""
ball,1,0.4,Bangladesh,Mohammad Naim,Mehedi Hasan Miraz,Fazalhaq Farooqi,0,0,,,,,,"",""
ball,1,0.5,Bangladesh,Mohammad Naim,Mehedi Hasan Miraz,Fazalhaq Farooqi,0,0,,,,,,"",""
ball,1,0.6,Bangladesh,Mohammad Naim,Mehedi Hasan Miraz,Fazalhaq Farooqi,4,0,,,,,,"",""
ball,1,0.7,Bangladesh,Mohammad Naim,Mehedi Hasan Miraz,Fazalhaq Farooqi,1,0,,,,,,"",""
ball,1,1.1,Bangladesh,Mohammad Naim,Mehedi Hasan Miraz,Mujeeb Ur Rahman,2,0,,,,,,"",""
ball,1,1.2,Bangladesh,Mohammad Naim,Mehedi Hasan Miraz,Mujeeb Ur Rahman,0,0,,,,,,"",""
ball,1,1.3,Bangladesh,Mohammad Naim,Mehedi Hasan Miraz,Mujeeb Ur Rahman,1,0,,,,,,"",""
ball,1,1.4,Bangladesh,Mehedi Hasan Miraz,Mohammad Naim,Mujeeb Ur Rahman,0,0,,,,,,"",""
ball,1,1.5,Bangladesh,Mehedi Hasan Miraz,Mohammad Naim,Mujeeb Ur Rahman,0,5,5,,,,,"",""
ball,1,1.6,Bangladesh,Mehedi Hasan Miraz,Mohammad Naim,Mujeeb Ur Rahman,0,0,,,,,,"",""
ball,1,1.7,Bangladesh,Mehedi Hasan Miraz,Mohammad Naim,Mujeeb Ur Rahman,0,0,,,,,,"",""
ball,1,2.1,Bangladesh,Mohammad Naim,Mehedi Hasan Miraz,Fazalhaq Farooqi,0,0,,,,,,"",""
ball,1,2.2,Bangladesh,Mohammad Naim,Mehedi Hasan Miraz,Fazalhaq Farooqi,4,0,,,,,,"",""
ball,1,2.3,Bangladesh,Mohammad Naim,Mehedi Hasan Miraz,Fazalhaq Farooqi,0,0,,,,,,"",""
ball,1,2.4,Bangladesh,Mohammad Naim,Mehedi Hasan Miraz,Fazalhaq Farooqi,0,0,,,,,,"",""
ball,1,2.5,Bangladesh,Mohammad Naim,Mehedi Hasan Miraz,Fazalhaq Farooqi,4,0,,,,,,"",""
ball,1,2.6,Bangladesh,Mohammad Naim,Mehedi Hasan Miraz,Fazalhaq Farooqi,0,0,,,,,,"",""
ball,1,3.1,Bangladesh,Mehedi Hasan Miraz,Mohammad Naim,Mujeeb Ur Rahman,1,0,,,,,,"",""
